# Time-averaged data for fix 3
# TimeStep v_strain v_stress
200 0.00025 -0.00941088
400 0.00275 0.0843168
600 0.00525 0.136381
800 0.00775 0.200721
1000 0.01025 0.333685
1200 0.01275 0.42138
1400 0.01525 0.488999
1600 0.01775 0.545367
1800 0.02025 0.61373
2000 0.02275 0.675452
2200 0.02525 0.724653
2400 0.02775 0.77353
2600 0.03025 0.826634
2800 0.03275 0.893275
3000 0.03525 0.907417
3200 0.03775 0.950255
3400 0.04025 0.999355
3600 0.04275 1.04065
3800 0.04525 1.05582
4000 0.04775 1.06108
4200 0.05025 1.08426
4400 0.05275 1.10304
4600 0.05525 1.1431
4800 0.05775 1.1374
5000 0.06025 1.13128
5200 0.06275 1.13456
5400 0.06525 1.12584
5600 0.06775 1.11287
5800 0.07025 1.0383
6000 0.07275 0.977577
6200 0.07525 0.963768
6400 0.07775 0.993657
6600 0.08025 0.887016
6800 0.08275 0.775354
7000 0.08525 0.808601
7200 0.08775 0.87852
7400 0.09025 0.859759
7600 0.09275 0.786654
7800 0.09525 0.748263
8000 0.09775 0.801413
8200 0.10025 0.858859
8400 0.10275 0.812072
8600 0.10525 0.69274
8800 0.10775 0.642704
9000 0.11025 0.645301
9200 0.11275 0.58901
9400 0.11525 0.518981
9600 0.11775 0.481375
9800 0.12025 0.473987
10000 0.12275 0.483532
10200 0.12525 0.465605
10400 0.12775 0.468871
10600 0.13025 0.487916
10800 0.13275 0.516943
11000 0.13525 0.544449
11200 0.13775 0.617329
11400 0.14025 0.668214
11600 0.14275 0.672991
11800 0.14525 0.697722
12000 0.14775 0.754025
12200 0.15025 0.771251
12400 0.15275 0.750844
12600 0.15525 0.741451
12800 0.15775 0.76273
13000 0.16025 0.770968
13200 0.16275 0.737355
13400 0.16525 0.72294
13600 0.16775 0.728877
13800 0.17025 0.699922
14000 0.17275 0.673319
14200 0.17525 0.649798
14400 0.17775 0.617055
14600 0.18025 0.644447
14800 0.18275 0.646389
15000 0.18525 0.623377
15200 0.18775 0.603775
15400 0.19025 0.603315
15600 0.19275 0.613319
15800 0.19525 0.637273
16000 0.19775 0.618623
16200 0.20025 0.61152
16400 0.20275 0.628972
16600 0.20525 0.657346
16800 0.20775 0.647085
17000 0.21025 0.651322
17200 0.21275 0.684513
17400 0.21525 0.681529
17600 0.21775 0.655842
17800 0.22025 0.622233
18000 0.22275 0.638707
18200 0.22525 0.58988
18400 0.22775 0.584162
18600 0.23025 0.587663
18800 0.23275 0.597719
19000 0.23525 0.594992
19200 0.23775 0.568142
19400 0.24025 0.586875
19600 0.24275 0.60214
19800 0.24525 0.590881
20000 0.24775 0.610293
20200 0.25025 0.613769
20400 0.25275 0.610642
20600 0.25525 0.628952
20800 0.25775 0.610554
21000 0.26025 0.606748
21200 0.26275 0.620893
21400 0.26525 0.601425
21600 0.26775 0.575511
21800 0.27025 0.557649
22000 0.27275 0.518954
22200 0.27525 0.497358
22400 0.27775 0.48728
22600 0.28025 0.456889
22800 0.28275 0.466777
23000 0.28525 0.407902
23200 0.28775 0.399521
23400 0.29025 0.419248
23600 0.29275 0.390005
23800 0.29525 0.348736
24000 0.29775 0.353099
24200 0.30025 0.402864
24400 0.30275 0.371372
24600 0.30525 0.345539
24800 0.30775 0.345459
25000 0.31025 0.333513
25200 0.31275 0.309364
25400 0.31525 0.286919
25600 0.31775 0.272476
25800 0.32025 0.244105
26000 0.32275 0.227096
26200 0.32525 0.220842
26400 0.32775 0.163337
26600 0.33025 0.143651
26800 0.33275 0.125909
27000 0.33525 0.0608198
27200 0.33775 0.0283224
27400 0.34025 0.0255263
27600 0.34275 0.00624753
27800 0.34525 0.0129572
28000 0.34775 0.0121979
28200 0.35025 -0.00475771
28400 0.35275 -0.0161676
28600 0.35525 0.0156125
28800 0.35775 -0.0201372
29000 0.36025 -0.0661492
29200 0.36275 -0.0696549
29400 0.36525 -0.0726679
29600 0.36775 -0.0887993
29800 0.37025 -0.132773
30000 0.37275 -0.180805
30200 0.37525 -0.220238
30400 0.37775 -0.241619
30600 0.38025 -0.24629
30800 0.38275 -0.206247
31000 0.38525 -0.167062
31200 0.38775 -0.163679
31400 0.39025 -0.140571
31600 0.39275 -0.0439513
31800 0.39525 0.00163378
32000 0.39775 -0.0288874
32200 0.40025 0.012222
32400 0.40275 0.0757532
32600 0.40525 0.0960736
32800 0.40775 0.106883
33000 0.41025 0.129397
33200 0.41275 0.19073
33400 0.41525 0.163891
33600 0.41775 0.13004
33800 0.42025 0.0765936
34000 0.42275 0.0669399
34200 0.42525 0.0557217
34400 0.42775 0.00637722
34600 0.43025 -0.00982632
34800 0.43275 -0.021079
35000 0.43525 -0.0642101
35200 0.43775 -0.102919
35400 0.44025 -0.140266
35600 0.44275 -0.142971
35800 0.44525 -0.149413
36000 0.44775 -0.163622
36200 0.45025 -0.150292
36400 0.45275 -0.100635
36600 0.45525 -0.0642304
36800 0.45775 -0.0339787
37000 0.46025 -0.000206358
37200 0.46275 0.0319653
37400 0.46525 0.0632903
37600 0.46775 0.0719076
37800 0.47025 0.101334
38000 0.47275 0.129754
38200 0.47525 0.131629
38400 0.47775 0.111417
38600 0.48025 0.109569
38800 0.48275 0.0958723
39000 0.48525 0.0724924
39200 0.48775 0.0298568
39400 0.49025 -0.0153485
39600 0.49275 -0.0106139
39800 0.49525 -0.0274749
40000 0.49775 -0.0904243
40200 0.50025 -0.072778
40400 0.50275 -0.0766081
40600 0.50525 -0.122282
40800 0.50775 -0.122816
41000 0.51025 -0.119899
41200 0.51275 -0.103169
41400 0.51525 -0.0937998
41600 0.51775 -0.0862944
41800 0.52025 -0.0500764
42000 0.52275 -0.0160452
42200 0.52525 0.0217904
42400 0.52775 0.0368667
42600 0.53025 0.0615631
42800 0.53275 0.0860414
43000 0.53525 0.0825617
43200 0.53775 0.0778696
43400 0.54025 0.106642
43600 0.54275 0.109864
43800 0.54525 0.0829026
44000 0.54775 0.0514535
44200 0.55025 0.0505083
44400 0.55275 0.0311032
44600 0.55525 -0.027153
44800 0.55775 -0.0502836
45000 0.56025 -0.0479686
45200 0.56275 -0.0807712
45400 0.56525 -0.105545
45600 0.56775 -0.103107
45800 0.57025 -0.0803385
46000 0.57275 -0.0882616
46200 0.57525 -0.0937904
46400 0.57775 -0.0788816
46600 0.58025 -0.0548137
46800 0.58275 -0.0427352
47000 0.58525 -0.00799782
47200 0.58775 0.0283467
47400 0.59025 0.0443609
47600 0.59275 0.0441799
47800 0.59525 0.0626833
48000 0.59775 0.0711282
48200 0.60025 0.070959
48400 0.60275 0.0781439
48600 0.60525 0.065764
48800 0.60775 0.0540954
49000 0.61025 0.0380903
49200 0.61275 0.033581
49400 0.61525 0.0153904
49600 0.61775 -0.00986468
49800 0.62025 -0.0221408
50000 0.62275 -0.0444507
